# Constants
g = 9.810000
m = 0.005000
R = 0.100000
L = 0.200000
Ig = 0.000017
I0 = 0.000067
ue = 0.300000
uc = 0.200000

# Simulation parameters
dt = 0.001000
dtheta0 = 0.000000

# Simulation data
# t 	 slip 	 ii 	 N 	 theta 	 dtheta 	 ddtheta 	 x 	 dx 	 ddx 	 y 	 dy 	 ddy 	 x1 	 y1 	 x2 	 y2
0.000000 0 1 0.048683 1.470796 0.000000 -7.345244 0.009983 -0.000000 0.730855 0.099500 0.000000 -0.073330 0.000000 0.000000 0.019967 0.199001
0.001000 0 1 0.048683 1.470793 -0.007345 -7.345512 0.009984 0.000731 0.730881 0.099500 -0.000073 -0.073341 0.000000 0.000000 0.019967 0.199001
0.002000 0 1 0.048683 1.470782 -0.014691 -7.346319 0.009985 0.001462 0.730959 0.099500 -0.000147 -0.073373 0.000000 0.000000 0.019970 0.199001
0.003000 0 1 0.048683 1.470763 -0.022038 -7.347664 0.009987 0.002193 0.731088 0.099500 -0.000220 -0.073427 0.000000 0.000000 0.019973 0.199000
0.004000 0 1 0.048682 1.470738 -0.029387 -7.349546 0.009989 0.002924 0.731270 0.099500 -0.000294 -0.073502 0.000000 0.000000 0.019978 0.199000
0.005000 0 1 0.048682 1.470704 -0.036737 -7.351966 0.009992 0.003655 0.731503 0.099499 -0.000367 -0.073599 0.000000 0.000000 0.019985 0.198999
0.006000 0 1 0.048681 1.470664 -0.044091 -7.354925 0.009996 0.004387 0.731789 0.099499 -0.000441 -0.073717 0.000000 0.000000 0.019993 0.198998
0.007000 0 1 0.048681 1.470616 -0.051447 -7.358422 0.010001 0.005119 0.732126 0.099499 -0.000515 -0.073857 -0.000000 0.000000 0.020003 0.198997
0.008000 0 1 0.048680 1.470561 -0.058808 -7.362457 0.010007 0.005851 0.732516 0.099498 -0.000588 -0.074018 -0.000000 0.000000 0.020013 0.198996
0.009000 0 1 0.048679 1.470499 -0.066173 -7.367032 0.010013 0.006584 0.732957 0.099497 -0.000663 -0.074201 -0.000000 0.000000 0.020026 0.198995
0.010000 0 1 0.048678 1.470429 -0.073542 -7.372146 0.010020 0.007317 0.733450 0.099497 -0.000737 -0.074406 -0.000000 0.000000 0.020040 0.198993
0.011000 0 1 0.048677 1.470352 -0.080917 -7.377799 0.010028 0.008051 0.733996 0.099496 -0.000811 -0.074633 -0.000000 0.000000 0.020055 0.198992
0.012000 0 1 0.048676 1.470267 -0.088298 -7.383993 0.010036 0.008785 0.734593 0.099495 -0.000886 -0.074882 -0.000000 0.000000 0.020072 0.198990
0.013000 0 1 0.048674 1.470175 -0.095685 -7.390727 0.010045 0.009520 0.735242 0.099494 -0.000961 -0.075152 -0.000000 0.000000 0.020090 0.198988
0.014000 0 1 0.048673 1.470076 -0.103080 -7.398002 0.010055 0.010256 0.735944 0.099493 -0.001036 -0.075444 -0.000000 0.000000 0.020110 0.198986
0.015000 0 1 0.048671 1.469969 -0.110481 -7.405818 0.010066 0.010992 0.736698 0.099492 -0.001112 -0.075759 -0.000000 0.000000 0.020131 0.198984
